speaker,gender,school,speechStyle,segment,previous_segment,following_segment,word,segment_duration,word_duration,start_point_segment,end_point_segment,start_point_word,end_point_word,extraction_param,intensity_mean,pitch_mean,f1,f2
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,N,mo:nIN,0.04,0.55,3.69,3.73,3.42,3.97,4,73.37302359,269.412757,427.4439713,852.6621225
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,N,mo:nIN,0.04,0.55,3.69,3.73,3.42,3.97,5,73.37302359,269.412757,433.5304218,996.841763
2944,Female,JannaliGirlsHighSchool,Phrase,NURSE,s,f,s3:fIN,0.23,0.51,4,4.23,3.97,4.48,1,70.57955928,190.9704718,510.4914917,1860.963245
2944,Female,JannaliGirlsHighSchool,Phrase,NURSE,s,f,s3:fIN,0.23,0.51,4,4.23,3.97,4.48,2,70.57955928,190.9704718,447.4968821,1742.208368
2944,Female,JannaliGirlsHighSchool,Phrase,NURSE,s,f,s3:fIN,0.23,0.51,4,4.23,3.97,4.48,3,70.57955928,190.9704718,480.3669754,1729.78457
2944,Female,JannaliGirlsHighSchool,Phrase,NURSE,s,f,s3:fIN,0.23,0.51,4,4.23,3.97,4.48,4,70.57955928,190.9704718,409.0577257,1812.918934
2944,Female,JannaliGirlsHighSchool,Phrase,NURSE,s,f,s3:fIN,0.23,0.51,4,4.23,3.97,4.48,5,70.57955928,190.9704718,436.2218901,1674.89915
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,f,N,s3:fIN,0.06,0.51,4.26,4.32,3.97,4.48,1,71.60872757,203.229893,403.5506059,1931.822866
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,f,N,s3:fIN,0.06,0.51,4.26,4.32,3.97,4.48,2,71.60872757,203.229893,410.9140408,2091.630813
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,f,N,s3:fIN,0.06,0.51,4.26,4.32,3.97,4.48,3,71.60872757,203.229893,396.7270588,1329.878482
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,f,N,s3:fIN,0.06,0.51,4.26,4.32,3.97,4.48,4,71.60872757,203.229893,393.3430489,2432.995983
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,f,N,s3:fIN,0.06,0.51,4.26,4.32,3.97,4.48,5,71.60872757,203.229893,386.1692821,2119.576984
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,N,n,{nd,0.06,0.12,4.48,4.54,4.48,4.6,1,66.79402895,208.5369428,401.821778,1810.925523
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,N,n,{nd,0.06,0.12,4.48,4.54,4.48,4.6,2,66.79402895,208.5369428,517.4577836,1607.18454
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,N,n,{nd,0.06,0.12,4.48,4.54,4.48,4.6,3,66.79402895,208.5369428,630.6838549,1534.731007
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,N,n,{nd,0.06,0.12,4.48,4.54,4.48,4.6,4,66.79402895,208.5369428,586.1905869,869.2318756
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,N,n,{nd,0.06,0.12,4.48,4.54,4.48,4.6,5,66.79402895,208.5369428,672.72475,1935.02886
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,r,l,r\@l{ksIN,0.04,0.57,4.68,4.72,4.6,5.17,1,71.65458152,202.5065264,405.6730422,1903.938626
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,r,l,r\@l{ksIN,0.04,0.57,4.68,4.72,4.6,5.17,2,71.65458152,202.5065264,405.9307455,1919.570891
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,r,l,r\@l{ksIN,0.04,0.57,4.68,4.72,4.6,5.17,3,71.65458152,202.5065264,403.0780502,1710.216581
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,r,l,r\@l{ksIN,0.04,0.57,4.68,4.72,4.6,5.17,4,71.65458152,202.5065264,402.5022696,1745.462507
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,r,l,r\@l{ksIN,0.04,0.57,4.68,4.72,4.6,5.17,5,71.65458152,202.5065264,395.2308477,1895.05475
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,l,k,r\@l{ksIN,0.12,0.57,4.77,4.89,4.6,5.17,1,68.28636929,216.6193964,471.3251725,1647.415983
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,l,k,r\@l{ksIN,0.12,0.57,4.77,4.89,4.6,5.17,2,68.28636929,216.6193964,656.8894635,1421.065611
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,l,k,r\@l{ksIN,0.12,0.57,4.77,4.89,4.6,5.17,3,68.28636929,216.6193964,703.1150803,1516.865437
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,l,k,r\@l{ksIN,0.12,0.57,4.77,4.89,4.6,5.17,4,68.28636929,216.6193964,667.4470489,1594.392523
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,l,k,r\@l{ksIN,0.12,0.57,4.77,4.89,4.6,5.17,5,68.28636929,216.6193964,593.0137869,2008.739826
